"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"81","Dunwoody High School",,,,"2","2023-04-19 00:00:00","2025-10-25 00:10:51.831509","2025-10-25 00:20:37.032","school","public","false",
"82","Leapfrog Services, Inc.",,,,"1","2024-07-31 00:00:00","2025-10-25 00:10:52.026878","2025-10-25 00:20:37.097","large_corp",,"false",
"83","U.S. EPA Region 4 Public Affairs Office",,,,"1","2024-09-25 00:00:00","2025-10-25 00:10:52.223732","2025-10-25 00:10:52.223732","government",,"false",
"84","MCIC",,,,"2","2025-09-29 00:00:00","2025-10-25 00:10:52.42206","2025-10-25 00:10:52.42206","midsize_corp",,"false",
"85","The Tomodachi Club",,,,"1","2024-10-02 00:00:00","2025-10-25 00:10:52.620664","2025-10-25 00:20:37.162","cultural",,"false",
"86","Reliance Worldwide Corporation",,,,"1","2023-01-16 00:00:00","2025-10-25 00:10:52.824867","2025-10-25 00:20:37.227","large_corp",,"false",
"87","Cox Automotive",,,,"1","2023-09-14 00:00:00","2025-10-25 00:10:53.019797","2025-10-25 00:10:53.019797","large_corp",,"false",
"88","Kappa Kappa PSI",,,,"1","2023-11-01 00:00:00","2025-10-25 00:10:53.219552","2025-10-25 00:10:53.219552","greek",,"false",
"89","Dunwoody Country Club",,,,"2","2025-07-23 00:00:00","2025-10-25 00:10:53.471814","2025-10-25 00:20:37.292","club",,"false",
"90","Alpharetta Methodist",,,,"1","2024-02-11 00:00:00","2025-10-25 00:10:53.667075","2025-10-25 00:10:53.667075","church",,"false",
"91","OpenText",,,,"2","2025-03-26 16:00:00","2025-10-25 00:10:53.862854","2025-10-25 00:10:53.862854","large_corp",,"false",
"92","Pace Academy",,,,"1","2024-01-15 00:00:00","2025-10-25 00:10:54.061507","2025-10-25 00:20:37.357","school","public","false",
"93","Cooper Sky",,,,"1","2023-11-08 00:00:00","2025-10-25 00:10:54.256572","2025-10-25 00:10:54.256572","small_corp",,"false",
"94","Pope High School",,,,"1","2024-09-27 00:00:00","2025-10-25 00:10:54.452042","2025-10-25 00:10:54.452042","school","public","false",
"95","Cherokee Indivisible",,,,"1","2025-09-18 12:00:00","2025-10-25 00:10:54.647248","2025-10-25 00:10:54.647248","political",,"false",
"96","Toco Hills Birthday Party",,,,"1","2024-01-28 17:00:00","2025-10-25 00:10:54.841827","2025-10-25 00:10:54.841827",,,"false",
"97","Roswell Community Church",,,,"1","2024-06-30 00:00:00","2025-10-25 00:10:55.036813","2025-10-25 00:20:37.422","church_faith",,"true",
"98","Hopewell Middle School Pay It Forward Club",,,,"1","2025-10-28 00:00:00","2025-10-25 00:10:55.231111","2025-10-25 00:20:37.486","school","public","false",
"99","Infor",,,,"1","2024-03-25 00:00:00","2025-10-25 00:10:55.426457","2025-10-25 00:10:55.426457","midsize_corp",,"false",
"100","Fidelity Investments",,,,"1","2025-03-26 00:00:00","2025-10-25 00:10:55.620447","2025-10-25 00:10:55.620447","large_corp",,"false","Dunwoody branch"
"101","Train Up a Child Summer Camp",,,,"1","2022-06-07 00:00:00","2025-10-25 00:10:55.816065","2025-10-25 00:10:55.816065","problematic",,"false",
"102","Synergis",,,,"1","2025-10-29 00:00:00","2025-10-25 00:10:56.010945","2025-10-25 00:10:56.010945",,,"false",
"103","Children's Healthcare of Atlanta",,,,"1","2022-07-25 00:00:00","2025-10-25 00:10:56.213055","2025-10-25 00:10:56.213055",,,"false",
"104","Chattahoochee Technical College",,,,"2","2025-11-10 00:00:00","2025-10-25 00:11:07.194289","2025-10-25 00:20:37.555","school","public","false",
"105","Girl Scouts",,,,"40","2025-09-18 12:00:00","2025-10-25 00:11:07.390087","2025-10-25 00:20:37.621","club",,"false",
"106","CDC",,,,"4","2025-07-16 00:00:00","2025-10-25 00:11:07.588829","2025-10-25 00:11:07.588829",,,"false",
"107","Team Rehab Physical Therapy",,,,"1","2024-07-10 00:00:00","2025-10-25 00:11:07.795157","2025-10-25 00:11:07.795157",,,"false",
"108","Temple Kol Emeth",,,,"1","2023-12-10 00:00:00","2025-10-25 00:11:07.991898","2025-10-25 00:20:37.686","church_faith",,"true",
"109","Procare Therapy",,,,"2","2025-10-27 00:00:00","2025-10-25 00:11:08.190752","2025-10-25 00:11:08.190752",,,"false",
"110","5k table",,,,"1","2023-09-10 00:00:00","2025-10-25 00:11:08.412419","2025-10-25 00:11:08.412419",,,"false",
"111","St Jude PTA",,,,"1","2026-02-05 00:00:00","2025-10-25 00:11:08.609628","2025-10-25 00:11:08.609628",,,"false",
"112","Cornerstone Christian Academy MS",,,,"1","2023-03-14 00:00:00","2025-10-25 00:11:08.80816","2025-10-25 00:20:37.751","school","public","true",
"113","Kings Ridge Christian School",,,,"1","2024-11-20 00:00:00","2025-10-25 00:11:09.005847","2025-10-25 00:20:37.818","school","private","true",
"114","Roswell Gymmastics Levels 9/10",,,,"1","2025-11-15 00:00:00","2025-10-25 00:11:09.202542","2025-10-25 00:11:09.202542",,,"false",
"115","Eagles Landing Dancing Center",,,,"1","2025-02-09 00:00:00","2025-10-25 00:11:09.412908","2025-10-25 00:11:09.412908",,,"false",
"116","Neighbors small group-Peachtree Church",,,,"1","2025-10-29 00:00:00","2025-10-25 00:11:09.618398","2025-10-25 00:20:37.883","church_faith",,"true",
"117","Dowell Student Council",,,,"1","2022-05-05 00:00:00","2025-10-25 00:11:09.820146","2025-10-25 00:11:09.820146",,,"false",
"118","Rotary Club",,,,"6","2026-04-27 00:00:00","2025-10-25 00:11:10.017098","2025-10-25 00:20:37.948","club",,"false",
"119","Network 1 Consulting",,,,"1","2024-02-27 00:00:00","2025-10-25 00:11:10.213862","2025-10-25 00:20:38.013","small_medium_corp",,"false",
"120","Repair the World",,,,"5","2023-11-08 00:00:00","2025-10-25 00:11:10.412951","2025-10-25 00:11:10.412951",,,"false",
"121","Oglethrope University",,,,"1","2023-04-13 00:00:00","2025-10-25 00:11:10.609148","2025-10-25 00:20:38.078","school","public","false",
"122","PrimeRevenue",,,,"1","2024-02-13 00:00:00","2025-10-25 00:11:10.809606","2025-10-25 00:11:10.809606",,,"false",
"123","National Charity League",,,,"3","2023-06-21 00:00:00","2025-10-25 00:11:11.004713","2025-10-25 00:11:11.004713",,,"false",
"124","Burton Energy Group",,,,"2","2023-12-15 00:00:00","2025-10-25 00:11:11.202624","2025-10-25 00:20:38.144","large_corp",,"false",
"125","Swiss Community members in Atlanta",,,,"1","2023-09-16 00:00:00","2025-10-25 00:11:11.402865","2025-10-25 00:11:11.402865",,,"false",
